review,bug_report,improvement_request,rating,others
جيد بالنسبة إلى الأصدقاء الذين تعرفت عليهم والذين لا يقدرون في اي مال لكن والله سعر الجواهر ونقاط جداً جداً جداً مرتفع اتمنى من ادارة التطبيق النظر في الأسعار ومحاولة إضافة تطورات في التطبيق دون أي عوائق على اي ازعاج أو مدايقة المشتركين القدامه وأن شاء الله اتمنى لكم المزيد والتقدم حتى نصبح مثل هذا التطبيق العملي والجيد بتمنالكم لكم المزيد والتوفيق في بلدنا الحبيب الاردن تحت ظل الرايه الهاشمية جلالة الملك عبدالله الثاني حفظه الله ورعاه.,Low,High,High,Low
التطبيق ممتازة ناقصة خدمة أبل باي,No,High,High,No
المفروض بدل رأيك في الخدمات وملحقاتها مشكلتك في الخدمات وملحقاتها وش الفيادة يوم اضيع من وقتي ثلاث دقائق في رأي تلقائي على المهملات والا الارشفة مثل برنامج الثامنه بس هذاك مرئي وهذا مقرؤء,No,High,Medium,No
كنت محملتها بعدين حذفتها و لحين حملتها عشان كويلي,No,No,Low,Medium
البرنامج حلو بس المشكله انو ما يرفع عدد المشاهدات بسرعه🙂,No,No,High,Low
"الكتابة بالعربي مقلوب 
الرجاء تطوير البرنامج",High,Medium,Low,No
حضروني .....اخره برنامج في العالم ...,No,Medium,High,No
استعلام عن الفواتير غير موجود الافاده,No,Medium,Low,Low
سهولة ويسر في الاستخدام، شكراً وزارة الصحة,No,No,High,No
اتمنى يتم فك الارتباط مع برنامج  النفاذ الوطني وابشر وندخل مباشرة على تطبيق موعد برقم الهوية والسري الموجودة بنظام ابشر بدون هالمرمطة,No,High,Medium,No
برنامج فاشل مثلكم انا تخيلت انو راح يروح و يطلع الوجه الحقيقي لاكن يطلع غير وجه كلو كذب 😔☹️,No,No,High,No
لسا ما جربته يارب يكون برنامج حلوو,No,No,Low,High
االلعبة مميزه تاخذ ١٠٠٠٠٠٠٠٠٠٠٠. اول تطبيق مميز,No,No,High,Low
هي اللعبه حلوه بس بتطلع كتير أعلانات و ليش ما يخلوني مُسالمه وبس حطيت 3نجوم على هدول الشغلتين 😁,No,Medium,High,No
بس تطول وهي تحمل وياليت تعدل فيها شوي يعني السرعه الانوار يمدينا نشغلها بنفسنا,No,High,Medium,No
البرنامج ممتاز وزاد الاقبال عليه خصوصا بعد حظر برنامج الفايبر,No,No,High,Low
يوجد تطبيقات كثيره أفضل من هذا وارخص منه حتى نجمه واجد علية,No,Medium,High,No
برنامج ممتاز وبصراحة عجبني سرعة تجاوبهم ، لكن المشكله ان احكامهم لا تنفذ لدى مقدمي الخدمة وخاصة ً شركة STC,Low,Medium,High,No
برنامج جميل لكن اختيار الجنس يكون عند الدفع فقط,Low,Medium,High,No
يجب خفض الوقت في تطوير المباني,No,High,Medium,No
تطبيق كان يفيدنا وقت الحجر  عشان التصاريح,No,Low,High,No
أنصحكم ما تحملوهاأبدا لا تصدقوها تعلق خرررررررر رره 👎💩 😡 😣,No,Low,High,No
ثلاثة نجمات علي راي الجمهور وتحت التجربة,No,Low,High,Low
شيء طالما انتظرناه مجهود جميل ورائع . إلى ما سبق من ملاحظات الأخوة الكرام أحب أن أضيف أن اسم القارىء أهم من صورته ، فعندي تظهر الصورة ويغاب جزء كبير من الاسم . ثانيا : تفعيل الوضع الأفقي في جميل أوضاع البرنامج .أخيرا جزاكم الله خيرا,Medium,High,High,Low
رجعولي فلوسي ولا بشتكي 😠😠😠😠😈🤢👎💰💶💶💷💶💶💷💶💴 من زينكم,Medium,Medium,High,No
التطبيق ممتاز جدا ولاكن نظام الشركات يجيب ان يتعدل,No,High,High,Low
انصحك بعدم تحميل البرنامج كله خداع,No,No,High,No
المواعيد بحد ذاتها ممتازة لتفادي الأنتظار الكثير,No,No,High,Low
لعبه دي حلوه قوي يا جدعان,No,No,High,Low
ترى في مشكلة في الاغاني متقدمة شوية,High,Medium,Medium,No
التطبيق لا يعمل ما قدرت اسجل في التطبيق يحتاج مبرمج ذكي وغير معقد,High,High,High,Low
منذ شهر وحل الألغاز واقف ويكتب لي يفتح قريبا,Medium,No,No,Medium
طلبتم وصف ورأي قبل ان اجرب واختبر ؟ فكيف رأيي في هذا ؟؟؟!!!.,Medium,High,High,No
اشتريت النسخة الاصلية والجهاز لم يقبل الروت.. جهازي LG g4 واعطاني انه غير مدعوم بالروت ولم استفد اي شيء ما الحل؟؟؟,High,Medium,Medium,No
السلام عليكم ورحمة الله وبركاته في قناة العب مع امون,No,No,No,High
. انا عوز اعرف التطبيق مش راضي يشتغل لية,High,No,Medium,No
تحفه جدا تحت التجربه بجد واضح أنها روعه اوي وكمان كل الناس كاتبه أنها حلوه,No,No,High,Low
للأسف برنامج سي والله,No,No,High,Low
تطبيق مميز جدا بكل صراحه لم أتوقع أنه يوجد تطبيقات عربيه بهذه الكفاءه ، جزيتم خيرا على تسهيل المعاملات بين الطلاب والمسؤوليين,No,No,High,No
انا احب هذه اللعبه كثير كثير كثير ونفسي اتحدث وها,No,No,High,No
العبة حلوه بس ارجو من مصمم اللعبة يفتلنا كل الطائرات او على الاقل نكسب فلوس من اللعبة نفسها ونشترى بيهم وبهذه الطريقه هتكسب لعيبا اكثر,No,High,High,No
ممتاز جدااا انصح استخدام البرنامج يحل لكم كل المشاكل التي متعلقه بلبلديه شكراا لتعونكم..خدمة سريعة جداا ..قدم المشكله التي لديك تنحل في اسرع وقت ممكن الان حمل البرنامج اذا لا تعرف طريقة استخدام البرنامج اتصل على 940 راح يخدمك الموظف.. ♥♥♥♥♥,No,Low,High,No
مرتبزتيتبزبتقت وبززبوبز ما خلق الله ماما,No,No,No,High
يعني ابسط شي وهو اني اسمع الاغاني بالترتيب صار لازم اشترك عشانه ،، قمة الجشع ، راح احذف البرنامج واستخدم ديزر افضل,No,No,High,No
يع يع يع يع يع يع يع يع صفر,No,No,High,No
تطبيق يتميز بالصعوبة العالية والتعقيد؛ وكثرة المدخلات غير المهمة,No,Medium,High,Low
برنامج ممتاز ولاكن نريد حل لتعليق احيانن وكذالك عندما ينطفي الجوال ينطفي البرنامج,High,High,High,No
منذ أن حملت التطبيق حجزت عليه الموعد بكل سلاسة و لكن عند حجزي الموعد الثاني حاليا بعد الموعد الأول رسالة التأكيد عند الدخول للحساب تأتي متأخرة نصف ساعة لادخال رمز التحقق مما يجعل التطبيق بلا فائدة و لم أستطع حجز موعد فأرجو معالجة هذا الخلل,High,Low,Medium,No
جميل جدا..كان ذلك قبل جشع اللعبة ...اما الان فهي سيئة للغاية نرجو تدارك الامر,No,Medium,High,No
لماذا هذه تطبيق لايعمل بشكل جيد لماذ,Medium,Low,High,No
اللي عنده دعوه لايبخل,No,No,No,Medium
واااااااو يجنن يجننن كيوت,No,No,High,Low
هي روووععة ولكن ثقيل الاوفلاين كأنك تلعب اونلاين اللي يعرف حل المشكلة الرجاء اخباري,Medium,Medium,High,No
العبة كل شيء فيها مدفوع العبة زبالة,No,Medium,High,Low
ممتاز جدا بارك الله فيكم الله يقويكم,No,No,High,No
أكثر من مليار تحميل.... لكن فيه عيوب العيب الأول 1_ لا توجد ألعاب كثيرة وعديدة ومتنوعة وشائعة... كلها ألعاب مالها قيمة سييئة في اللعب 2_ نرجوا اضافة ألعاب شائعة بحيث نستطيع لعب بها من PUBG MOBİLE... وهناك مشكلة وأيضاً كبيرة هي عدم حفظ الألعاب المثبتة في الهاتف في بداية اللعب لا أستطيع أكمل هذا.... 3 عند تثبيت التطبيق من المتجر الخاص بكم وبدأ اللعب من الأصدقاء يظهر لي رسالة وهي خطأ قم بتثبيت التطبيق وانا مثبته سابقاً الرجاء حل المشكلة وجميع المشاكل المتعلقة بالنظام مع تحسينات داخلية في النظام....,High,High,High,No
هذا البرنامج اكثر من رائع جداً,No,No,High,No
يلعن ام التفعيلات يا اخي اندمت لاني شريتو يا اخي لو ماعندي كمبيوتر شو اعمل بهالحال اقسم بالله ملليت الالعاب من ضيمو,Low,Low,High,No
الرسائل في بريدي تم حذفها بعد ماقمت بتحميل برنامج تويو ارجو حل المشكله واعادة كل البريد فيها رسائل مهمه وتسجيل للجامعه وشكرا,High,Low,Medium,No
من اسوأ البرامج اللي يسن قوانين ويخالفها مايخليك تتهنا فيه لازم يطفشك كل شوي يوقفون حسابات,Low,Medium,High,No
تطبيق حلو بس المشكله مي يرن داخل عل التطبيق,High,Medium,High,No
برنامج رائع ومفيد جدا في حفظ الاوراق الهامة خاصة في حال تغيير الجوال بشكل مستمر,No,No,High,No
برنامج جميل ورائع جداً,No,No,High,No
والله نجمة واحدة كثيرة عليه. التطبيق سيئ وفاشل والسبب بعد التسجيل يصل رمز التفعيل وبعد ادخال رمز التفعيل تطلع ملاحضة تقول يوجد خطاء نرجو المحاولة مره اخرى. للمعلومية حاولت اكثر من 5 مرات وبعدين حذفته وريحت راسي,High,Medium,High,No
عدم التجاوب مع شكاوي من شهر رمضان 1440 على شركة الاتصالات السعودية بسبب ضعف الشبكه,No,Low,Medium,Medium
الرجاء تنزيله على الاندرويد,No,Medium,Medium,Medium
ينزل فالسناب تقطيع,High,Low,Medium,No
يرجا التحسين و خصوصا فى مكة,No,High,Medium,No
البرنامج مره زفت كل بين يومين صار يقطع ويرجع يسجل تسجيل دخول من جديد وكل شي الي حملته ينحذف شنو هذا ليش كذا ؟؟؟ حسنو من الاداء حقه وشكرا,High,High,High,No
حلو بس ياشباب كيف  يتعرب اللغه العربيه  وكيف يتحدث,No,Low,High,Medium
اتمنى اضافة اللعب كفريق,No,High,Low,No
لعبة جميلة جدا ولكن هناك الكثير من الهدايا مما يهل العبة وسوف تمل منها بسرعة انصحكم ان تقللي عدد الهدايا,No,High,High,No
لعبه سيئه جدا وحتي نجمه واحده كتير عليها تجربه فاشله لا أنصح أحد بها 👎👎,No,No,High,No
نشكر حكومتنا الرشيده وتجاوزها الصعاب وخوفها على المواطنين.,No,No,Low,Medium
ماذا يحصل اللعبه بعد التحديث لا ترضى ان تشتغل,High,Medium,Medium,No
عندما تكون متقدم تتوقف العبه وتذهب الي الخصم بدون انقطاع نت أو الخروج أعطيت للعبه خمسه نجوم سوف اسحب ثلاثه منهم فقط 🧡,High,Low,High,No
"تطبيق ضعيف وغير واقعي 
بصراحة تطبيق بدائي جداً ولا يستحق أي نجمة",No,Low,High,No
السلام عليكم ورحمة الله وبركاته مستوى حقول السبائك منخفضة,Low,Low,Medium,Low
نبي اكواد تخصم طلبنا مو الطلب الجاي,No,High,Low,Medium
مع الاسف التطبيق لا يعمل ما الحل,High,Low,Medium,No
تجاوب سريع.. تقدمت بشكوى تأخر توريد المياه عن طريق التطبيق وكان التجاوب خلال ٣ ايام,No,No,High,No
لايقبل رقم جوالي لكي يرسل الكود ؟؟؟,High,Low,No,No
اللعبه تحملت عندي بس ماتفتح تعلق وهي تتحمل وش السبب,High,Low,Low,No
ياليت التعديل كنت ابغى أستفسار عن الفاتورة القديمة,Low,High,Low,Low
التطبيق ممتاز جدا,No,No,High,No
البرنامح جدا ممتاز بس فجى يقفل ولا يفتح أبدا ولا يرضي يفتح بجميع والمحاولات,High,Low,High,No
الدعم فاشل الشحن اوفر سب وقذف في اكثر الرومات,No,Medium,High,Medium
اسوء لعبة في العالم العب قيم وبعد يوم تصبح الشاشه بيصاء ارجو حل هذه المشكلة,High,Medium,High,No
مميز من نوعه,No,No,High,Low
شحنت مرتين جواهر ب 36 ريال ولا انضافت لي وش الحل,High,No,No,Low
انه تطبق اخذ مسافه كبيره ولقد حذفت كل البرامج التي في جوالي ولا كن لا يزالايتحمل😡,Medium,No,Medium,No
"حلوه العبه بس الروبكس بفلوس حقيقيه
عشان كذا نقصت نجمه",No,Medium,High,No
سهل الاستخدام و ممتاز,No,No,High,No
يستاهل فايف ستار ثانكيواااا,No,No,High,No
في تحديث للبيت هو في غرفة بيبي واجداد بس في البيت الجديد فقط تبغو تنزلو  روحو اكتبو على يوتيوب,No,No,No,High
خدمه ماتليق بسمعة المملكه ومكانتها كلام في الاعلام حسيت انا وصلنا القمر من التقدم والوضوح ولاكن في الواقع استهلاك اعلامي لااقل,Low,Medium,High,No
اللعبي يععععع مش حلو ماانسح حد يلعبي كل مااربح مااخد غير 1 ليره و المصاري تروح 😡😡😡👎👎,Medium,Low,High,No
ماشاء لله تبارك الرحمن اللعبه جميله جدا بس مع السلامه وشكرا لي اقرأ التعليق ❤👍,No,No,High,Low
ضروري يكون الطلب مغلق باحكام,No,Medium,No,Medium
روعه روعه روعه,No,No,Medium,Medium
تطبيق ممتاز وسهل حياة الناس شكرا وزارة الصحة,No,No,High,No
عندي مشكله في طبع البطاقه رغم اني رحت وقعت في الفرع,High,Low,Low,No
الاكل يتأخر مرا ويوصل بارد للأسف,No,Low,High,No
ثلاث نجمات عشان  يرجع التحديث القديم وغير هذا التعليق,No,Low,High,No
التطبيق شغال بس يحتاج تغير اللغه الي انجليزي في الجوال للتسجيل والدخول,Medium,Low,Medium,Low
اللعبه مرره مرره حلوههه بنصحكم فيها واذا تبغون تحملون الي بفلوس حملو تطبيق ابتوديد 👍👍💕,No,No,High,Medium
لازم تكون المنشأة الي تبي تقيمها جنب بيتك ولا داخل حوشك عشان تطلع ع الخريطة وتقيمها !,Low,Low,Low,Medium
مره حلو افضل اهذي اللعبه,No,No,High,No
ماهي وظيفه هذا البرنامج؟,No,No,Low,High
لو تسوون التعليق,No,High,Low,Low
كيف احصل على الرقم الشخصي ؟اللي 8ارقام.ام هو غير مهم؟؟,No,Low,No,Medium
والله مدري وش اخرتها ههههه,No,No,No,High
غالي جدا ويصرف عملات كثيره علئ الفيديو معه البنت,No,Low,High,Low
جيد جدآ  لكن مع نص ميقا يالله يتحمل,No,Medium,High,No
مننا 8 عمال قدمنا الشكوى ولم يتواصل معانا احد من مكتب العمل الله المستعان تم طرد 8 عمال وضلمنا ولم يصرف لنا حقوقنا ولاكن للاسف مافي تواصل من احد اشتكي لله تعالى من الشركة الي نعمل معها ومكتب العمل نايم,No,Medium,Medium,Medium
الشكر الجزيل لوزارة الصحة وكل شخص قام بالعمل على معالجة هذه الازمة الخطيرة ، ازمة كورونا ، سرعتكم ، تطبيقاتكم على الهواتف ، مراكز الفحص، لا يوجد مثلها بأي مكان، الف شكر,No,No,High,Low
اخوي انا سجلت دخول جديد والتطبيق رفض تسجيل ويقول لا توجد تفاصيل لهذا المشترك مع العلم إن كل معلومات إلي سجلتها صح هل في مشكله او أيش القصد إني ما فهمت ي ليت ترد,High,Low,Low,No
نشكر وزارة الصحة على الخدمات لكن كان يفضل أن تجمع جميع الخدمات في تطبيق واحد لعدم تشتيت المواطن والمقيم ...الآن عندهم تطبيق صحة وصحتي وموعد وتباعد وتوكلنا وتطمن أشوفها لخبطة واجمعوها في واحد شامل كل الخدمات,No,High,Low,Low
تم حل المشكلة,No,No,No,High
"جميل وسهل 
مشكلته انه اذا انتهى اشتراك تنحذف كل موسيقاك التي حملتها عبر انترنت",Low,Low,High,No
رائعة جدا بس كلما احل لغز واحد تطلعني ليش ما ادري❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,High,Low,High,No
كذابين ترا المارد مشغل المايكرفون,No,Low,Medium,Medium
هل ضروري التحديث الايفون لاخر اصدار مارضي يفتح معي التطبيق,High,Low,Low,Medium
لم يتم العثور على ملفات الايقاعات فيه خلل,High,Low,Low,Low
مع الشكر والتقدير اللعبة جداً جميلة وممتعة والدردشة اصبحت مكان لتواصل بين الاعضاء,No,No,High,No
عايز اعرف اشحن فورى ولا فيزا عايز اعرف الطريقه وشكرا,No,No,No,High
حلوه اللعبه بس لو فيه كذا الناس اخضر بعدين تصير اسم والقاتل بتصير احلى,No,High,Medium,No
لا يوجد زر إعجاب بالفعاليات كما يقول التطبيق,Low,Medium,No,Medium
كل عام وانتم بخير,No,No,No,Medium
الاسعار ف عمان واجد غالي مقارنة بالسعوديه🙂🙂🙂,No,Low,Low,Medium
ارى ان هناك حاجه الى حمله إعلاميه واسعه وورش عمل للتعريف بشكل اكثر بالمركز وكذلك بالتطبيق وطريقة استخدامه والتي تبدو غير واضحه للكثير,No,Medium,No,Medium
من بداية برنامج الإسكان عام ١٤٣٥ وانا مطابق للشروط ومستحق ولحد الآن ساكن في غرفه مع أولادي بإنتظار فرع جده ان يوزعون ارض جوهرة العروس وكل ما اراجعهم يقولون اسمك موجود ولكن المشروع متوقف مع الشك ان يتم التوزيع في ليلة ظلماء وخلال دقائق,No,Low,No,High
مو تيك توك ضيم مع احتراماتي الباقي البرامج خلي يفتحون علوه😂😂,No,No,No,High
التوصيل غالي جدااا المذهب جنبنا,No,Medium,Medium,No
خدمة تحديد البلد لا تشمل تحديد المدينة ويمكن اضافتها 100نقطه,Low,Medium,No,No
نحتاج تغيير موقع المنزل بعد الانتقال من مدينة الى اخرى بتصريح تنقل من وزارة الداخلية,Low,Low,Low,Medium
لم يردون على التصريح او تم ارسال رسالة نهائياً لا انصح بالاستعمال ابداً,Low,Low,High,No
اصبح استخدامه سيئ لكثرة الاعلانات,No,Medium,High,No
غير متقولوش لعائشة اذا كان علابالي راح نبعتلكم تصويرة تاع الصح نار في عهد مبارك في حسابك بنجاح في حسابك بنجاح في الصباح او المساء برس على الإنتر يسعى في هذا الموضوع المفيد الله عليه و سلم قال لبلال هارون بن طلحة الأنصاري رضي الله عنها أن النبي من غير ماما جابت الله يبارك حبيبي يا حبيبي يا رسول الله صلى الله عليه وسلم على سيدنا محمد وعلى اله وصحبه اجمعين وبعد هذا كله فقط من غير ماما جابت بيبي جنى مقداد طيور الجنه الفضائيه مدار النايل سات من قسم قسم تحميل الانمي المترجم ون بيس الحلقه الاولى من غير,No,No,No,High
التطبيق لايعمل  ويطلب التحديث,High,Low,No,No
لا استطيع دخول يتعذر الدخول ما هو سبب,High,Low,No,No
يتاخر بالتوصيل بشكل فضييييع,No,Medium,Medium,No
ليس هناك لغة عربية,No,Medium,Medium,No
لا يمكن الدخول للتطبيق ينطفي لحاله ويطلعني من التطبيق,High,Low,No,No
عند فتح التطبيق والقيام بالتسجيل يقوم باظهار رسالة خطاء غير معروف,High,Low,No,No
فيه تأخر في بعض الطلابات,Low,Medium,Low,Medium
شكرا من القلب للوزارة هذا التطبيق الان اصبح علامه بارزه,No,No,Medium,Medium
الاسعار عاليه حقت التوصيل,No,Medium,Medium,Low
لوسمحتو ليش البرنامح عملي حظر ارحو الاجابه,Medium,Low,Low,Medium
بعض الصفحات في سورة الفرقان غير موجوده ٣٦٠و٣٦١و٣٦٢و٣٦٣ قلت يمكن جوالي معلق ولكن الصفحات اللي بعدها موجوده وكمان اللي قبلها,High,Low,Low,No
لا يمكن حذف الحسابات المسجلة من تطبيق الأيفون الخيار متوفر علر تطبيق الاندرويد,High,Low,Low,No
اللعبة جيده ولكن محتاجين تحفيز وجوائز بين المراحل وشكرا,No,High,Medium,No
برنامج حلو ولاكن النقاط بسرعه يخلصن ارجو م̷ـــِْن المبرمج ان يزيل هَـ (⊙﹏⊙) ــاآ النقاط ويخلي بدون نقاط مراسله عاديه ابلييز 😖🚬😒,Medium,High,Medium,No
لايوجد خصوصية يستطيع اي شخص يحدد موقعك,Medium,Medium,Medium,No
يحق للمستهلك الاطلاع على تفاصيل فاتورة لنفس الشهر فقط وهذا سيء المفروض تفاصيل الفواتير لمدة سنه او 6 اشهر على الاقل متوفرة للمستهلك,No,High,Medium,No
تطبيق جيد لكن مشكلته انك لو اخترت كذا حاجه بيرسلهم على كذا مره مش مره واحده وعلى كذا شركه شحن,Low,Medium,Medium,No
اللعب حلو جد ا بس في مشكل هي انى معياش فلوس,No,Low,High,Medium
التحديث سئ جدا,Medium,Medium,Medium,No
الإعلان معفنننن ما اقدر اتخطا ⁦⁦,No,Low,High,No
يفصل لحاله احياناً,High,Low,Low,Low
اللعبه في الإعلان شي ولما تحملها شي ثاني,No,Low,High,Medium
نطالب لشركه شيش ان نقدر نرسل صور للدردشة تكفون الناس يبون يرسلون صور عشان يجي احلى,No,High,Low,No
العبة موحلوة مابتحمل أنا حطيت نجما عشان أكتب تعليق 😠😠😠😠 😤😤😤😤😤😤😠😠,Medium,Low,High,No
سبحان الله وبحمده سبحان الله العظيم,No,No,No,High
المشكلة في حال اني عرفت متجر معين وجيت ابحث عنو في البرنامج اذا معروف وموثق ولا لا ما يطلع في البحث حتى لو لقيتو في القائمه ياريت يطورو موضوع البحث عن المتاجر المعروفة كمستخدم وليس كبائع,Medium,High,Low,No
لماذ تمسحت اللعب و صارت بفلوس عندي و عند اخواتي و انا عالفاضي يعني اشتريت اللعب بفلوس والله انا احب اللعب و ارجو حل المشاكل والله خسريت فلوس $$$ عالفاضي اذا حليتو المشاكل بعطيها خمس نجوم والله اف اف اف,High,High,High,Low
بعد التحديث الاخير تم تغيير العنوان الوطني الى مشترك اخر,High,No,No,No
حلوه بس لما احمل كل الاجزاء ما تشتغل العبه عشان كذا قيمته 2 نجوم,High,Low,High,No
عدم توفر خدمة الاعتراض عن سبب رفض الشكوى,No,Medium,Low,Medium
تطبيق أکثر من رائع فعلاً الدكتور كان جداً متجاوب وسريع الرد,No,No,High,Low
هذه اللعبه تبدو جيده ،,No,Low,High,No
رفض يدخل عندي,High,Low,Low,No
نحتاج إلى اللغة العربية في اللعبه,No,High,Low,No
لعبه مجنونه من جميع النواحي تستحق ٥ نجوم فيها كارزما خاصه فيها,No,No,High,No
جزاكم الله خيراً,No,No,No,High
لماذا لايوجد شكوى او ملاحظات في البرنامج,High,Medium,No,No
اين خانة المعلمين ؟,Medium,Medium,No,No
لعبة جيده بس لو تحط تحكم بسياره اسهم افضل من احرك الجوال يمين يسار,No,High,Medium,No
ارجو حل مشكلة الدخول اللعبه لها يومين لاتقبل الدخول كل اسبوع تحديث وتعليق في اللعبه,High,Low,Low,No
ماقدر ادخل اللعبه يقول صيانه متى ينتهي؟؟,High,No,No,No
اللعبة جيدة ولكن الاعلانات تحجب المشاريع نرجو حل هذه المشكلة في القريب العاجل,High,Low,Medium,No
تطبيق مهم جدا الله يحمي الوطن وشكرا لكل رجل امن,No,No,Medium,Low
اذا جيت اسجل يمنعني ويقول شبكتك تمنع ذلك مع ان جوالي ايفون ٤ وشبكتي زين والنت حقي موبايلي,High,No,No,No
كل بنت حقيقية و محترمة و راقية و جميلة,No,No,No,High
مافيه حفظ صور ومافيه حفظ مقاطع فديو امنو هذا الاشياء,Low,High,No,No
اكبر فاشل هذا البرنامج طبعا لان مسحت الانستا وثبتنه بغير جهاز ودخلت البريد الالكتروني وكلمه السر ماعرف شنو طلعي وحسابي راح🤦‍♀️ اريد حل لهاي المشكله لخاطر العباس شنو هاي 😠😠😠😠 الي يعرف فدوه خل يرد عل هاي المشكله واالله مليت 🤐,Medium,Low,Medium,No
تقييم سخيف لاينفع الا للاستعلام ولا تستطيع التوكيل او الاستفاده من الخدمات,Medium,No,Medium,Medium
تسليه وتضييع وقتلعبه جميله,No,No,High,No
ارجو تنزيل التطبيق لاجهزة الاندرويد,No,High,No,No
كان شغال معي وله اربع ايام يطلعني وش السبب,High,Low,No,No
لعبة روعة.. ينقصها: ١-تعريب اللعبة ٢-وجود الأون لاين ٣-اضافة مزايا كثيرة,No,High,Medium,No
بس شباب وش الا نشر هل هو يعني تهكير للجوال  وثيمه ول كيف,No,No,No,High
0551459882 المدينه المنوره,No,No,No,High
لانه يخذ حق المظلوم من الظالم,No,No,No,High
يا مصخط تكلمو عربي كيف تبون الناس تعرف ان البرنامج حلو,No,Medium,Medium,Medium
ايش هاذي اللعبة حقت البزران اعفن لعبة بلعالم,No,No,High,No
ممتاز جدا جدا,No,No,High,No
"رائع فعلا 
ولكن الاحظ مشكلة انه يستهلك البطارية اكثر من المعتاد
فياريت لو كان فعلا في مشكلة يتم معالجتها",Low,High,Medium,No
برنامج رائع جداً,No,No,High,No
اللعبة كانت في الماضي مذهلة ولكن في التحديثات الاخيرة اصبحت اللعبة مملة جدااااا بسبب كثرة الهاكات ونظام الحماية .الرويال باس كان جميلا الدليل على ذلك انني شحنا الرويال باس13 ولكني لم اعد اشحن لان الازياء و الاسلحة اصبحت مقززة ولكن واو جمييل!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!؟؟؟؟؟؟😹😂😂😂🤩🤩😂😂🤣🤣🤣😭🤣🤣,No,High,High,Low
